CSD_ID,Season,County,year_group,count,average_level
413053000000000,Spring,MORRILL,201,10,3.281
412829000000000,Spring,LOGAN,201,1,23.45
412829000000000,Spring,GREELEY,201,7,74.0
412829000000000,Spring,VALLEY,201,7,10.35714285714285714285714286
412829000000000,Spring,MORRILL,201,10,178.813
412944000000000,Spring,BANNER,201,5,172.486
412944000000000,Spring,VALLEY,201,14,9.214285714285714285714285714
412349000000000,Spring,PLATTE,201,1,8.08
412402000000000,Spring,GARDEN,201,2,6.91
412454000000000,Spring,GARDEN,201,10,18.644
412520000000000,Spring,NANCE,201,5,23.37
412520000000000,Spring,Platte,201,2,13.755
412718000000000,Spring,VALLEY,201,5,26.046
424334000000000,Spring,KNOX,201,3,3.413333333333333333333333333
412905000000000,Spring,COLFAX,201,5,97.398
411402000000000,Spring,KIMBALL,201,4,21.85
411402000000000,Spring,KEITH,201,5,12.99
412802000000000,Spring,GARDEN,201,5,32.714
405411000000000,Spring,HALL,201,5,24.864008
405437000000000,Spring,YORK,201,5,80.024
405503000000000,Spring,YORK,201,15,51.032
405556000000000,Spring,HALL,201,5,25.894008
405637000000000,Spring,LINCOLN,201,5,138.474
405637000000000,Spring,LANCASTER,201,5,15.904
405637000000000,Spring,BUFFALO,201,5,61.944
405648000000000,Spring,HALL,201,5,11.414008
405648000000000,Spring,HAMILTON,201,7,83.70428571428571428571428571
400325000000000,Spring,HITCHCOCK,201,4,92.615
404715000000000,Spring,YORK,201,5,120.984
404715000000000,Spring,SEWARD,201,10,81.685
404741000000000,Spring,SEWARD,201,1,5.65
404741000000000,Spring,HALL,201,4,7.9825
405150000000000,Spring,DAWSON,201,5,13.888008
405400000000000,Spring,HALL,201,7,8.715714285714285714285714286
405400000000000,Spring,SEWARD,201,5,82.538
405505000000000,Spring,HALL,201,5,91.424
405505000000000,Spring,SEWARD,201,5,89.388
405558000000000,Spring,DAWSON,201,4,14.082505
405242000000000,Spring,HALL,201,4,34.8525
400619000000000,Spring,DUNDY,201,5,95.758
400401000000000,Spring,DUNDY,201,10,62.585
405821000000000,Spring,HALL,201,9,9.586666666666666666666666667
405821000000000,Spring,YORK,201,8,77.41375
405845000000000,Spring,SEWARD,201,5,67.678
410918000000000,Spring,CHEYENNE,201,5,11.792
401805000000000,Spring,FURNAS,201,1,29.4
411439000000000,Spring,HOWARD,201,5,11.742
411439000000000,Spring,POLK,201,6,9.295006666666666666666666667
412137000000000,Spring,GARDEN,201,5,8.422
411059000000000,Spring,LINCOLN,201,5,5.64
411059000000000,Spring,MERRICK,201,5,7.66
411059000000000,Spring,CHEYENNE,201,5,60.594
402841000000000,Spring,ADAMS,201,7,10.47714285714285714285714286
402841000000000,Spring,GOSPER,201,5,154.268
410745000000000,Spring,KEITH,201,3,2.943333333333333333333333333
415152000000000,Spring,BURT,201,5,177.006
411229000000000,Spring,KEITH,201,3,126.7266666666666666666666667
411229000000000,Spring,HOWARD,201,3,19.74333333333333333333333333
411229000000000,Spring,CHEYENNE,201,10,141.814
411229000000000,Spring,SAUNDERS,201,5,61.59
411255000000000,Spring,HOWARD,201,5,19.066
411347000000000,Spring,KEITH,201,9,26.34111111111111111111111111
411426000000000,Spring,MERRICK,201,4,29.39
411544000000000,Spring,SHERMAN,201,5,38.142
411544000000000,Spring,BUTLER,201,5,196.098
411636000000000,Spring,KEITH,201,3,6.96
411636000000000,Spring,NANCE,201,5,10.434
411859000000000,Spring,KEITH,201,2,8.66
411913000000000,Spring,HOWARD,201,12,46.60583333333333333333333333
411913000000000,Spring,NANCE,201,11,10.18545454545454545454545455
411952000000000,Spring,KEITH,201,3,14.84666666666666666666666667
411952000000000,Spring,NANCE,201,7,19.02857142857142857142857143
412018000000000,Spring,HOWARD,201,14,16.95
412202000000000,Spring,HOWARD,201,7,14.44285714285714285714285714
412202000000000,Spring,LINCOLN,201,5,109.65
411321000000000,Spring,KEITH,201,5,128.55
411321000000000,Spring,MERRICK,201,5,8.00
411321000000000,Spring,HOWARD,201,10,22.929
411321000000000,Spring,POLK,201,5,17.468
411754000000000,Spring,KEITH,201,2,6.27
411754000000000,Spring,GARDEN,201,2,14.51
411413000000000,Spring,KEITH,201,3,6.846666666666666666666666667
411413000000000,Spring,POLK,201,5,12.382
411505000000000,Spring,MERRICK,201,5,17.05
411505000000000,Spring,HOWARD,201,5,6.88
411808000000000,Spring,KEITH,201,3,8.22
411900000000000,Spring,NANCE,201,4,2.2975
404020000000000,Spring,PHELPS,201,5,4.956
404020000000000,Spring,GOSPER,201,5,84.102
410536000000000,Spring,LINCOLN,201,5,10.21
410536000000000,Spring,SAUNDERS,201,5,129.984
410720000000000,Spring,LINCOLN,201,2,4.52
410733000000000,Spring,LINCOLN,201,5,3.988
410746000000000,Spring,SAUNDERS,201,5,47.302
411835000000000,Spring,KEITH,201,3,10.64666666666666666666666667
411835000000000,Spring,POLK,201,5,18.67
411835000000000,Spring,KIMBALL,201,5,229.652
412032000000000,Spring,MERRICK,201,5,8.272
412032000000000,Spring,HOWARD,201,7,12.81428571428571428571428571
412111000000000,Spring,BUTLER,201,4,9.7225
411901000000000,Spring,NANCE,201,5,5.83
411239000000000,Spring,KEITH,201,5,29.66
411239000000000,Spring,DEUEL,201,4,173.75
411452000000000,Spring,HOWARD,201,5,10.822
411452000000000,Spring,SHERMAN,201,5,88.60
411518000000000,Spring,HOWARD,201,5,12.386
412150000000000,Spring,NANCE,201,5,7.386
400930000000000,Spring,GAGE,201,5,72.636
400930000000000,Spring,JEFFERSON,201,4,92.7675
425532000000000,Spring,CHERRY,201,5,4.18
424041000000000,Spring,SHERIDAN,201,5,1.524
421755000000000,Spring,ROCK,201,4,4.535
401818000000000,Spring,FURNAS,201,5,25.76
411150000000000,Spring,KEITH,201,3,6.46
411150000000000,Spring,POLK,201,5,144.504
411415000000000,Spring,KEITH,201,5,36.436
415409000000000,Spring,LOUP,201,7,7.885714285714285714285714286
402107000000000,Spring,HAYES,201,5,12.274
402107000000000,Spring,PHELPS,201,5,200.604
402107000000000,Spring,KEARNEY,201,5,143.244
402107000000000,Spring,GOSPER,201,5,131.492
400223000000000,Spring,THAYER,201,5,119.276
404757000000000,Spring,DAWSON,201,9,12.58778222222222222222222222
404046000000000,Spring,GOSPER,201,6,69.72166666666666666666666667
410840000000000,Spring,POLK,201,5,47.224
410840000000000,Spring,CHEYENNE,201,5,43.074
414240000000000,Spring,VALLEY,201,5,15.18
414240000000000,Spring,ARTHUR,201,5,20.924
414253000000000,Spring,PLATTE,201,5,58.188
414428000000000,Spring,CUMING,201,5,5.40
414428000000000,Spring,DODGE,201,5,7.296
414428000000000,Spring,COLFAX,201,5,29.468
414431000000000,Spring,SCOTTS BLUFF,201,10,44.282
414808000000000,Spring,MORRILL,201,10,19.851
415131000000000,Spring,SCOTTS BLUFF,201,2,30
415145000000000,Spring,BOONE,201,5,68.388
415317000000000,Spring,SCOTTS BLUFF,201,5,66.158
415320000000000,Spring,SCOTTS BLUFF,201,10,107.871
415330000000000,Spring,MADISON,201,5,87.902
415355000000000,Spring,BOONE,201,5,125.70
415356000000000,Spring,MADISON,201,5,70.654
415406000000000,Spring,SCOTTS BLUFF,201,5,7.638
415446000000000,Spring,SCOTTS BLUFF,201,8,8.0425
415500000000000,Spring,LOUP,201,5,23.146
415500000000000,Spring,SCOTTS BLUFF,201,10,46.564
415525000000000,Spring,SCOTTS BLUFF,201,20,11.2245
415604000000000,Spring,STANTON,201,5,88.85
415630000000000,Spring,SCOTTS BLUFF,201,5,61.272
415643000000000,Spring,SCOTTS BLUFF,201,8,10.10875
415708000000000,Spring,LOUP,201,5,13.278
415722000000000,Spring,SCOTTS BLUFF,201,10,4.967
415722000000000,Spring,MADISON,201,10,61.846
415827000000000,Spring,STANTON,201,5,79.056
415827000000000,Spring,LOUP,201,5,3.278
415852000000000,Spring,SCOTTS BLUFF,201,10,10.266
420035000000000,Spring,HOOKER,201,5,100.012
420114000000000,Spring,BOX BUTTE,201,10,55.223
415347000000000,Spring,SCOTTS BLUFF,201,5,26.44
415408000000000,Spring,SCOTTS BLUFF,201,10,5.546
415532000000000,Spring,HOOKER,201,5,11.056
415537000000000,Spring,CUMING,201,5,27.182
415721000000000,Spring,SCOTTS BLUFF,201,15,13.65
415904000000000,Spring,ANTELOPE,201,3,66.17333333333333333333333333
415918000000000,Spring,STANTON,201,5,13.586
415918000000000,Spring,BLAINE,201,5,1.584
415957000000000,Spring,BURT,201,5,13.68
420048000000000,Spring,ANTELOPE,201,8,102.14375
414101000000000,Spring,CUSTER,201,5,54.436
